date,name,station_status,remote_id,station_bytes,mirror_bytes,in_mirror,size_match,verdict
2026-07-25,20260725T090131.mp4,SYNCED,3413,10120534,10120534,True,True,RECLAIM
2026-07-25,20260725T083126.mp4,SYNCED,3412,10049612,10049612,True,True,RECLAIM
2026-07-25,20260725T080128.mp4,SYNCED,3411,10008178,10008178,True,True,RECLAIM
2026-07-25,20260725T073132.mp4,SYNCED,3410,9309718,9309718,True,True,RECLAIM
2026-07-25,20260725T070126.mp4,SYNCED,3409,10268012,10268012,True,True,RECLAIM
2026-07-25,20260725T063131.mp4,SYNCED,3408,9313814,9313814,True,True,RECLAIM
2026-07-25,20260725T060125.mp4,SYNCED,3407,9633867,9633867,True,True,RECLAIM
2026-07-25,20260725T053131.mp4,SYNCED,3406,9539553,9539553,True,True,RECLAIM
2026-07-25,20260725T050130.mp4,SYNCED,3405,9568575,9568575,True,True,RECLAIM
2026-07-25,20260725T043128.mp4,SYNCED,3404,9538595,9538595,True,True,RECLAIM
2026-07-25,20260725T040132.mp4,SYNCED,3403,10062621,10062621,True,True,RECLAIM
2026-07-25,20260725T033128.mp4,FAILED,,9316043,9316043,True,True,ALREADY-ON-SERVER
2026-07-25,20260725T030132.mp4,SYNCED,3401,9309943,9309943,True,True,RECLAIM
2026-07-25,20260725T023130.mp4,SYNCED,3400,10258851,10258851,True,True,RECLAIM
2026-07-25,20260725T020131.mp4,SYNCED,3399,10375625,10375625,True,True,RECLAIM
2026-07-25,20260725T013124.mp4,SYNCED,3398,9554300,9554300,True,True,RECLAIM
2026-07-25,20260725T010129.mp4,FAILED,,9308633,9308633,True,True,ALREADY-ON-SERVER
2026-07-25,20260725T003132.mp4,SYNCED,3396,9522492,9522492,True,True,RECLAIM
2026-07-25,20260725T000124.mp4,SYNCED,3395,9312219,9312219,True,True,RECLAIM
2026-07-24,20260724T233129.mp4,SYNCED,3394,9471412,9471412,True,True,RECLAIM
2026-07-24,20260724T230131.mp4,SYNCED,3393,10099277,10099277,True,True,RECLAIM
2026-07-24,20260724T223123.mp4,SYNCED,3392,9280564,9280564,True,True,RECLAIM
2026-07-24,20260724T220127.mp4,SYNCED,3391,9311116,9311116,True,True,RECLAIM
2026-07-24,20260724T213126.mp4,SYNCED,3390,9277687,9277687,True,True,RECLAIM
2026-07-24,20260724T210134.mp4,SYNCED,3389,9607074,9607074,True,True,RECLAIM
2026-07-24,20260724T203124.mp4,SYNCED,3388,9543321,9543321,True,True,RECLAIM
2026-07-24,20260724T200135.mp4,SYNCED,3387,10118401,10118401,True,True,RECLAIM
2026-07-24,20260724T193132.mp4,SYNCED,3386,9747247,9747247,True,True,RECLAIM
2026-07-24,20260724T190124.mp4,SYNCED,3385,9468989,9468989,True,True,RECLAIM
2026-07-24,20260724T183134.mp4,SYNCED,3384,10122207,10122207,True,True,RECLAIM
2026-07-24,20260724T180133.mp4,SYNCED,3383,10124812,10124812,True,True,RECLAIM
2026-07-24,20260724T173126.mp4,SYNCED,3382,9723729,9723729,True,True,RECLAIM
2026-07-24,20260724T170131.mp4,FAILED,,9286732,,False,False,UPLOAD
2026-07-24,20260724T163127.mp4,SYNCED,3381,9275397,9275397,True,True,RECLAIM
2026-07-24,20260724T160127.mp4,SYNCED,3380,10041556,10041556,True,True,RECLAIM
2026-07-24,20260724T153124.mp4,SYNCED,3379,9283420,9283420,True,True,RECLAIM
2026-07-24,20260724T150131.mp4,SYNCED,3378,9881261,9881261,True,True,RECLAIM
2026-07-24,20260724T143127.mp4,SYNCED,3377,9868522,9868522,True,True,RECLAIM
2026-07-24,20260724T140127.mp4,SYNCED,3376,9917964,9917964,True,True,RECLAIM
2026-07-24,20260724T133133.mp4,SYNCED,3375,9282700,9282700,True,True,RECLAIM
2026-07-24,20260724T130124.mp4,SYNCED,3374,9867309,9867309,True,True,RECLAIM
2026-07-24,20260724T123127.mp4,SYNCED,3373,9282329,9282329,True,True,RECLAIM
2026-07-24,20260724T120127.mp4,SYNCED,3372,9929589,9929589,True,True,RECLAIM
2026-07-24,20260724T113126.mp4,SYNCED,3371,9920940,9920940,True,True,RECLAIM
2026-07-24,20260724T110130.mp4,SYNCED,3370,9307430,9307430,True,True,RECLAIM
2026-07-24,20260724T103128.mp4,SYNCED,3369,9988465,9988465,True,True,RECLAIM
2026-07-24,20260724T100134.mp4,SYNCED,3368,9960851,9960851,True,True,RECLAIM
2026-07-24,20260724T093127.mp4,SYNCED,3367,9538962,9538962,True,True,RECLAIM
2026-07-24,20260724T090124.mp4,SYNCED,3366,10012813,10012813,True,True,RECLAIM
2026-07-24,20260724T083126.mp4,SYNCED,3365,9314242,9314242,True,True,RECLAIM
2026-07-24,20260724T080128.mp4,SYNCED,3364,9307878,9307878,True,True,RECLAIM
2026-07-24,20260724T073125.mp4,SYNCED,3363,9996687,9996687,True,True,RECLAIM
2026-07-24,20260724T070125.mp4,SYNCED,3362,9307642,9307642,True,True,RECLAIM
2026-07-24,20260724T063129.mp4,SYNCED,3361,9443480,9443480,True,True,RECLAIM
2026-07-24,20260724T060132.mp4,SYNCED,3360,9536406,9536406,True,True,RECLAIM
2026-07-24,20260724T053125.mp4,FAILED,,9572285,9572285,True,True,ALREADY-ON-SERVER
2026-07-24,20260724T050126.mp4,SYNCED,3358,10164470,10164470,True,True,RECLAIM
2026-07-24,20260724T043124.mp4,SYNCED,3357,9353165,9353165,True,True,RECLAIM
2026-07-24,20260724T040131.mp4,SYNCED,3356,10129478,10129478,True,True,RECLAIM
2026-07-24,20260724T033130.mp4,SYNCED,3355,10069192,10069192,True,True,RECLAIM
2026-07-24,20260724T030127.mp4,SYNCED,3354,10089176,10089176,True,True,RECLAIM
2026-07-24,20260724T023132.mp4,SYNCED,3353,9446292,9446292,True,True,RECLAIM
2026-07-24,20260724T020128.mp4,SYNCED,3352,9315110,9315110,True,True,RECLAIM
2026-07-24,20260724T013131.mp4,SYNCED,3351,9308394,9308394,True,True,RECLAIM
2026-07-24,20260724T010128.mp4,SYNCED,3350,9316676,9316676,True,True,RECLAIM
2026-07-24,20260724T003130.mp4,FAILED,,9488440,,False,False,UPLOAD
2026-07-24,20260724T000130.mp4,FAILED,,10212355,,False,False,UPLOAD
2026-07-23,20260723T233128.mp4,FAILED,,10076683,,False,False,UPLOAD
2026-07-23,20260723T230127.mp4,FAILED,,9653123,,False,False,UPLOAD
2026-07-23,20260723T223127.mp4,FAILED,,9889060,,False,False,UPLOAD
2026-07-23,20260723T220130.mp4,FAILED,,9554378,,False,False,UPLOAD
2026-07-23,20260723T213123.mp4,FAILED,,10064052,,False,False,UPLOAD
2026-07-23,20260723T210123.mp4,FAILED,,9717583,,False,False,UPLOAD
2026-07-23,20260723T203130.mp4,FAILED,,9350994,,False,False,UPLOAD
2026-07-23,20260723T200123.mp4,FAILED,,10004557,,False,False,UPLOAD
2026-07-23,20260723T193130.mp4,FAILED,,9334869,,False,False,UPLOAD
2026-07-23,20260723T190122.mp4,FAILED,,9600926,,False,False,UPLOAD
2026-07-23,20260723T183124.mp4,FAILED,,9633777,,False,False,UPLOAD
2026-07-23,20260723T180125.mp4,FAILED,,9892835,,False,False,UPLOAD
2026-07-23,20260723T173129.mp4,FAILED,,9976625,,False,False,UPLOAD
2026-07-23,20260723T170125.mp4,FAILED,,9739700,,False,False,UPLOAD
2026-07-23,20260723T163129.mp4,FAILED,,9629384,,False,False,UPLOAD
2026-07-23,20260723T160129.mp4,FAILED,,9980992,,False,False,UPLOAD
2026-07-23,20260723T153123.mp4,FAILED,,9422657,,False,False,UPLOAD
2026-07-23,20260723T150130.mp4,FAILED,,9566334,,False,False,UPLOAD
2026-07-23,20260723T143122.mp4,FAILED,,9286565,,False,False,UPLOAD
2026-07-23,20260723T140125.mp4,FAILED,,9499809,,False,False,UPLOAD
2026-07-23,20260723T133123.mp4,FAILED,,9912018,,False,False,UPLOAD
2026-07-23,20260723T130131.mp4,FAILED,,9829395,,False,False,UPLOAD
2026-07-23,20260723T123124.mp4,FAILED,,9562412,,False,False,UPLOAD
2026-07-23,20260723T120131.mp4,FAILED,,9721850,,False,False,UPLOAD
2026-07-23,20260723T113122.mp4,FAILED,,9367323,,False,False,UPLOAD
2026-07-23,20260723T110128.mp4,FAILED,,9469126,,False,False,UPLOAD
2026-07-23,20260723T103131.mp4,FAILED,,9313034,,False,False,UPLOAD
2026-07-23,20260723T100123.mp4,FAILED,,10081078,,False,False,UPLOAD
2026-07-23,20260723T093124.mp4,FAILED,,9334149,,False,False,UPLOAD
2026-07-23,20260723T090129.mp4,FAILED,,9553703,,False,False,UPLOAD
2026-07-23,20260723T083128.mp4,FAILED,,9310092,,False,False,UPLOAD
2026-07-23,20260723T080127.mp4,FAILED,,9311142,,False,False,UPLOAD
2026-07-23,20260723T073131.mp4,FAILED,,9352002,,False,False,UPLOAD
2026-07-23,20260723T070122.mp4,FAILED,,10096964,,False,False,UPLOAD
2026-07-23,20260723T063130.mp4,FAILED,,9553328,,False,False,UPLOAD
2026-07-23,20260723T060123.mp4,FAILED,,9568717,,False,False,UPLOAD
2026-07-23,20260723T053130.mp4,FAILED,,9496548,,False,False,UPLOAD
2026-07-23,20260723T050128.mp4,FAILED,,9370518,,False,False,UPLOAD
2026-07-23,20260723T043122.mp4,FAILED,,10297463,,False,False,UPLOAD
